code;family_variant;parent;categories;ACTIVE_INGREDIENT;ATC_CODE;BASE_UOM;DOSAGE_FORM;FREQUENCY;GPC_CODE;L3;PARENTID;price_reference-USD;PRODUCT_DESCRIPTION-en_US;PRODUCT_DESCRIPTION-fr_FR;ROUTE_OF_ADMINISTRATION;SOURCE_OF_DATA;STRENGTH;SUBSTITUTION-groups;SUBSTITUTION-products;SUBSTITUTION-product_models;UNSPSC_CODE;UN_SUPPLY_MATERIAL_CODE;WHO_COVID19_ITEM_CODE
C1050;PACK_SIZE;;COVID_PPE_HEALTHCARE_PROVIDERS_PROTECTION,LMIS,PRODUCTS_TO_TRADE_ITEMS;;;Piece;;;;;;6;MASK, MEDICAL / SURGICAL, type II or higher;;;;;;;;;;PPEMASS001
C1051;PACK_SIZE;;COVID_PPE_HEALTHCARE_PROVIDERS_PROTECTION,LMIS,PRODUCTS_TO_TRADE_ITEMS;;;Piece;;;;;;6;GOWN, SURGICAL/ISOLATION, non sterile, size small;;;;;;;;;;PPEGOWS001
C1052;PACK_SIZE;;COVID_PPE_HEALTHCARE_PROVIDERS_PROTECTION,LMIS,PRODUCTS_TO_TRADE_ITEMS;;;Piece;;;;;;6;GOWN, SURGICAL/ISOLATION, non sterile, size medium;;;;;;;;;;PPEGOWS002
C1053;PACK_SIZE;;COVID_PPE_HEALTHCARE_PROVIDERS_PROTECTION,LMIS,PRODUCTS_TO_TRADE_ITEMS;;;Piece;;;;;;6;GOWN, SURGICAL/ISOLATION, non sterile, size large;;;;;;;;;;PPEGOWS003
C1054;PACK_SIZE;;COVID_PPE_HEALTHCARE_PROVIDERS_PROTECTION,LMIS,PRODUCTS_TO_TRADE_ITEMS;;;Piece;;;;;;6;GOWN, SURGICAL/ISOLATION, non sterile, size XXL;;;;;;;;;;PPEGOWS004
C1055;PACK_SIZE;;COVID_PPE_HEALTHCARE_PROVIDERS_PROTECTION,LMIS,PRODUCTS_TO_TRADE_ITEMS;;;Piece;;;;;;13;GOGGLES PROTECTIVE, wraparound, soft frame, indirect vent;;;;;;;;;;PPEGOGG001
C1056;PACK_SIZE;;COVID_PPE_HEALTHCARE_PROVIDERS_PROTECTION,LMIS,PRODUCTS_TO_TRADE_ITEMS;;;Piece;;;;;;0.4;BIO HAZARD BAG, Disposal bag , 50 microns, mini 30 liters;;;;;;;;;;PPEBAGB001
C1057;PACK_SIZE;;COVID_DIAGNOSTICS_MANUAL_PCR,LMIS,PRODUCTS_TO_TRADE_ITEMS;;;Each;;;;;;8;Lab screening test kit (Primers and probes);;;;;;;;;;DIALSTK001
C1058;PACK_SIZE;;COVID_DIAGNOSTICS_MANUAL_PCR,LMIS,PRODUCTS_TO_TRADE_ITEMS;;;Each;;;;;;3.3;RT-PCR reaction kit;;;;;;;;;;DIARTPC001
C1059;PACK_SIZE;;COVID_DIAGNOSTICS_MANUAL_PCR,LMIS,PRODUCTS_TO_TRADE_ITEMS;;;Each;;;;;;4;Extraction kit;;;;;;;;;;DIAEXTK001
C1060;PACK_SIZE;;COVID_DIAGNOSTICS_MANUAL_PCR,LMIS,PRODUCTS_TO_TRADE_ITEMS;;;Each;;;;;;25000;THERMOCYCLERS for RT-PCR;;;;;;;;;;DIATHEC001
C1061;PACK_SIZE;;COVID_DIAGNOSTICS_SAMPLES,LMIS,PRODUCTS_TO_TRADE_ITEMS;;;Each;;;;;;1.8;Swab and Viral transport medium;;;;;;;;;;DIASWTM001
C1062;PACK_SIZE;;COVID_DIAGNOSTICS_NEAR_PATIENT_PCR_MACHINES,LMIS,PRODUCTS_TO_TRADE_ITEMS;;;Each;;;;;;12500;Near patient PCR machine, 2 modules Instrument;;;;;;;;;;DIAAPCE001
C1063;PACK_SIZE;;COVID_DIAGNOSTICS_NEAR_PATIENT_PCR_MACHINES,LMIS,PRODUCTS_TO_TRADE_ITEMS;;;Each;;;;;;18000;Near patient PCR machine, 4 modules Instrument;;;;;;;;;;DIAAPCE002
C1064;PACK_SIZE;;COVID_DIAGNOSTICS_NEAR_PATIENT_PCR_MACHINES,LMIS,PRODUCTS_TO_TRADE_ITEMS;;;Each;;;;;;20;For Near patient PCR machine – RT-PCR cartridge;;;;;;;;;;DIAAPCC001
C1065;PACK_SIZE;;COVID_DIAGNOSTICS_HIGH_THROUGHPUT_PCR,LMIS,PRODUCTS_TO_TRADE_ITEMS;;;Each;;;;;;15;Test Kits;;;;;;;;;;DIAHTPT001
